CVE_ENT,ceco_001,ceco_002,ceco_003,ceco_004,ceco_005,ceco_006,ceco_007,ceco_008,ceco_009,ceco_010,ceco_011,ceco_012,ceco_013,ceco_014,ceco_015,ceco_016,ceco_017,ceco_018,ceco_019,ceco_020,ceco_021,ceco_022,ceco_023
01,540692,341639,199053,421827,113500,321580,519719,326210,193509,20973,15429,5544,6762,34324,138758,226288,55231,20524,27231,163975,324830,10236,56630
02,1463802,912907,550895,1022581,304801,766054,1410500,871904,538596,53302,41003,12299,12360,40988,268888,699103,165975,69541,69555,467259,857364,62348,12644
03,326564,207573,118991,209195,61557,156774,317889,200934,116955,8675,6639,2036,3807,11371,55918,157755,45147,11919,25744,58758,230084,1339,1911
04,363555,245282,118273,306933,76283,242277,354930,238665,116265,8625,6617,2008,13443,34730,96262,131594,38238,16435,63561,74068,213998,4302,13209
05,1182013,781529,400484,981755,272675,765873,1137732,747977,389755,44281,33552,10729,9555,42838,265535,548790,118650,49826,47317,457318,614800,33058,128429
06,319574,197590,121984,218826,60952,166196,307445,188294,119151,12129,9296,2833,4374,20232,71249,141473,38288,10770,35916,53965,214527,5179,47748
07,1698428,1264796,433632,1889041,402535,1547578,1623956,1203474,420482,74472,61322,13150,241197,293944,479237,347654,81968,19963,590798,237265,777672,12430,105698
08,1427766,910412,517354,1125150,311749,867973,1373008,867927,505081,54758,42485,12273,18489,53561,405343,563426,144197,54288,90595,533075,729129,17452,35918
09,4205072,2459768,1745304,3019414,894128,2236752,4033273,2347524,1685749,171799,112244,59555,36437,215377,888064,1705338,487999,260119,19705,599381,3295153,198388,1484100
10,615419,413831,201588,624102,160747,487682,581568,386036,195532,33851,27795,6056,19655,34451,173641,229212,45075,13662,69462,161724,342643,28940,23191
11,2257943,1477696,780247,1979221,471066,1582057,2158605,1397243,761362,99338,80453,18885,40564,141824,625093,949530,172147,60658,194206,773234,1167696,51814,152361
12,1182214,787090,395124,1227730,291291,1007492,1127299,740707,386592,54915,46383,8532,101486,167087,332186,360708,47349,9480,235761,207366,668047,14296,44101
13,1048451,688244,360207,1016408,248864,810046,1009577,657007,352570,38874,31237,7637,36307,125098,305177,349208,64915,19647,149281,272720,572624,68562,150275
14,3256882,2082395,1174487,2493272,651485,1967047,3136363,1989552,1146811,120519,92843,27676,50161,176812,695059,1538759,291711,97453,239857,854024,1994240,35701,625857
15,6507365,4257749,2249616,5593964,1441546,4398145,6209671,4039334,2170337,297694,218415,79279,94679,386053,1709846,2727173,480785,148673,238147,1561012,4257048,1399228,997697
16,1699569,1136738,562831,1543202,345288,1282439,1628256,1077529,550727,71313,59209,12104,57629,180402,492735,594932,100608,29676,346826,336553,922168,32291,97713
17,802856,498534,304322,633144,165311,491700,766564,470366,296198,36292,28168,8124,15829,75735,230974,312950,54344,17777,73688,167978,515911,23168,161712
18,467031,302241,164790,388367,102958,297069,450230,288366,161864,16801,13875,2926,13448,35997,121474,198348,41341,9617,79979,73273,292365,15382,27509
19,2150819,1413966,736853,1700417,468453,1316299,2077807,1359846,717961,73012,54120,18892,15400,49111,271006,1160104,268148,101756,33076,682525,1315803,16365,831344
20,1283262,875101,408161,1421369,317373,1177994,1233387,834066,399321,49875,41035,8840,138513,156523,314949,384981,67572,16791,335191,232151,648009,13213,193602
21,2267222,1512189,755033,2193143,521515,1752491,2184324,1448064,736260,82898,64125,18773,103239,286489,749696,694230,127903,45241,410048,585233,1166738,58797,230712
22,863776,542379,321397,649478,171338,503124,832670,518549,314121,31106,23830,7276,15039,35708,165109,372695,94759,42816,41133,274171,505423,17633,124159
23,690682,448494,242188,431142,107592,342307,671186,434481,236705,19496,14013,5483,16054,33458,140573,308469,78866,24888,36011,90136,537626,3467,21298
24,987058,652225,334833,973050,247177,763650,947628,620927,326701,39430,31298,8132,31485,93694,288358,351183,82448,31260,127106,274005,534758,16718,114530
25,1162695,758009,404686,1024625,285938,786291,1121949,726536,395413,40746,31473,9273,14305,50511,302115,521949,111675,39806,230400,190534,688968,9295,31777
26,1178848,750888,427960,910537,263717,696130,1133092,716548,416544,45756,34340,11416,8904,44104,286086,540097,128501,45922,135994,312500,672026,18887,37106
27,861144,612056,249088,879476,209082,703355,811152,570251,240901,49992,41805,8187,20955,63509,215315,326163,89594,31446,129548,175569,489268,21188,83810
28,1355011,887554,467457,1152353,308885,905909,1289926,835683,454243,65085,51871,13214,19652,72087,390509,508314,99692,30103,80136,412323,776112,28465,81921
29,495846,325348,170498,439056,107650,345692,473673,308241,165432,22173,17107,5066,13973,53050,176757,156508,24611,6134,54991,162443,249909,67274,106343
30,2956089,2045929,910160,3050854,710272,2457490,2830405,1944623,885782,125684,101306,24378,120665,366171,919237,924757,188230,51397,613184,571207,1608128,76994,373957
31,868376,573599,294777,731321,192945,561992,851345,561107,290238,17031,12492,4539,28046,99952,277279,291230,60638,24294,92448,200046,547126,20726,130354
32,506456,350327,156129,572674,130902,467243,480281,327547,152734,26175,22780,3395,20569,44745,152716,168737,38028,10558,78004,126145,269463,13893,50751
